2026-03-16 09:20:27 status half-installed libnettle8:arm64 3.8.1-2
2026-03-16 09:20:28 status unpacked libnettle8:arm64 3.8.1-2
2026-03-16 09:20:28 install libp11-kit0:arm64 <none> 0.24.1-2
2026-03-16 09:20:28 status half-installed libp11-kit0:arm64 0.24.1-2
2026-03-16 09:20:28 status unpacked libp11-kit0:arm64 0.24.1-2
2026-03-16 09:20:28 install libpam-modules:arm64 <none> 1.5.2-6+deb12u2
2026-03-16 09:20:28 status half-installed libpam-modules:arm64 1.5.2-6+deb12u2
2026-03-16 09:20:29 status unpacked libpam-modules:arm64 1.5.2-6+deb12u2
2026-03-16 09:20:29 install libpam-modules-bin:arm64 <none> 1.5.2-6+deb12u2
2026-03-16 09:20:29 status half-installed libpam-modules-bin:arm64 1.5.2-6+deb12u2
2026-03-16 09:20:29 status unpacked libpam-modules-bin:arm64 1.5.2-6+deb12u2
2026-03-16 09:20:29 install libpam-runtime:all <none> 1.5.2-6+deb12u2
2026-03-16 09:20:29 status half-installed libpam-runtime:all 1.5.2-6+deb12u2
2026-03-16 09:20:29 status unpacked libpam-runtime:all 1.5.2-6+deb12u2
2026-03-16 09:20:29 install libpam0g:arm64 <none> 1.5.2-6+deb12u2
2026-03-16 09:20:29 status half-installed libpam0g:arm64 1.5.2-6+deb12u2
2026-03-16 09:20:29 status unpacked libpam0g:arm64 1.5.2-6+deb12u2
2026-03-16 09:20:29 install libpcre2-8-0:arm64 <none> 10.42-1
2026-03-16 09:20:29 status half-installed libpcre2-8-0:arm64 10.42-1
2026-03-16 09:20:30 status unpacked libpcre2-8-0:arm64 10.42-1
2026-03-16 09:20:30 install libseccomp2:arm64 <none> 2.5.4-1+deb12u1
2026-03-16 09:20:30 status half-installed libseccomp2:arm64 2.5.4-1+deb12u1
2026-03-16 09:20:30 status unpacked libseccomp2:arm64 2.5.4-1+deb12u1
2026-03-16 09:20:30 install libselinux1:arm64 <none> 3.4-1+b6
2026-03-16 09:20:30 status half-installed libselinux1:arm64 3.4-1+b6
2026-03-16 09:20:30 status unpacked libselinux1:arm64 3.4-1+b6
2026-03-16 09:20:30 install libsemanage-common:all <none> 3.4-1
2026-03-16 09:20:30 status half-installed libsemanage-common:all 3.4-1
2026-03-16 09:20:30 status unpacked libsemanage-common:all 3.4-1
2026-03-16 09:20:30 install libsemanage2:arm64 <none> 3.4-1+b5
2026-03-16 09:20:30 status half-installed libsemanage2:arm64 3.4-1+b5
2026-03-16 09:20:30 status unpacked libsemanage2:arm64 3.4-1+b5
